ID,Term Name,Definition,Categories,Category IDs,Is Legacy,Current Term,Current Term ID,Legacy Names,Legacy Term IDs,Upvotes,Downvotes
207,Haptics,Vibration alerts on smartphone or Smartwatch,EP,55,No,,,,,1,0
206,Sequential Segment,"Used when you need to segment users based on a defined order of events. In this case, the user:Viewed a laptopAdded it to cartViewed accessoriesDid not proceed to checkoutThe order of actions matters—making it ideal for Sequential logic in AEP segmentation.","AEP, Exams","52, 54",No,,,,,1,0
205,Streaming Data Readiness,"Streaming Segments: ⏱️ Ready immediately after creation ✅ New streaming data (from Web SDK/API) is evaluated in real time 🧠 Evaluated centrally in AEP core, not at the edgeEdge Segments: ⏱️ Take ~1 hour to propagate 🌐 Need to sync across Adobe's global Edge Network 🔒 Subject to stricter guardrails due to limited compute and storageSo yes, streaming segments are ready and active faster, but edge segments are what you need for ultra-low latency use cases on-device or near-device, like personalising a webpage or a mobile push in under a second.","AEP, Exams","52, 54",No,,,,,1,0
204,Edge Segmentation Readiness,"⏱️ Timeline for Edge Segmentation Readiness:✅ ~1 hour – Audience definitions become available at the edge❌ Not immediate – They are not usable for edge segmentation instantly upon creation❌ Not 24 hours or a week – Longer timeframes apply to batch segmentation or full profile merges, not edge logicThis latency exists to allow for syncing, indexing, and distributing the segment logic across Adobe’s global Edge infrastructure. Once propagated, edge segments can begin evaluating in real time against device-based events.",Exams,54,No,,,,,0,0
203,Privacy Actions,"IAB's standard U.S. Privacy String framework actions:✅ Supported in AEP:access – Retrieve all data associated with a user (Subject Access Request / SAR)delete – Permanently delete all personal data for a useroptout – Opt out of the sale of personal data (e.g. CCPA opt-out of sale)❌ Not Supported in AEP (as of now):anonymize – Obfuscate or scramble identity values (not supported natively)update / replace – Modify or replace existing values (not a supported privacy action)restrict – Temporarily restrict processing of personal dataobject – Object to a specific type of processing (e.g. profiling, marketing)portability – Request structured data for use in another system (partial overlap with access)","Data Governance, Exams","51, 54",No,,,,,0,0
202,Identity Keys,"In Adobe Experience Platform, identity keys are unique identifiers like ECID, Email, Phone, or Loyalty ID that link data across systems. These are stored in namespaces and used for identity stitching, profile merging, and privacy lookups.Profile attributes, on the other hand, are descriptive values such as firstName, city, or loyaltyTier. They help enrich a profile but do not participate in matching or resolution unless explicitly set as identities.To summarise: Identity Key Examples:ECID (Experience Cloud ID)EmailPhone numberGAID (Google Advertising ID)IDFA (Apple Identifier for Advertisers)TNTID (Adobe Target ID)CRM IDLoyalty IDSubscriber IDLogin UsernameWeb Account IDDevice IDDeclared ID (custom)❌ Profile Attribute Examples:firstName, lastNamegender, age, dateOfBirthcity, region, countryloyaltyTier, membershipLevelpreferredLanguage, accountStatuslastPurchaseDate, totalSpendoptInStatus, lastLoginDateIdentity keys define who the person is, while attributes describe what we know about them.","AEP, Exams, [New Term Dropzone]","52, 54, 53",No,,,,,0,0
201,Flattened Join,"A flattened join in Adobe Experience Platform (AEP) refers to a simplified, one-directional relationship between two datasets.— typically from an XDM Profile or Experience Event dataset to a lookup table.Unlike relational databases, AEP does not support dynamic or many-to-many joins. Instead, data from the lookup table is merged into the referencing record at runtime based on a single key.Flattened joins are used in AEP to ensure compatibility with its underlying Parquet-based columnar storage, which is optimised for fast reads of denormalised data. Parquet performs best when data is wide and flat, not deeply nested or relational. Flattening lookups at runtime allows AEP to maintain high performance across identity stitching, segmentation, and activation, especially at scale and in edge scenarios where low latency is critical.This model supports only one-to-one or many-to-one relationships. The primary dataset (e.g. a profile) must reference exactly one row in the lookup dataset. That row's values are then “flattened” into the profile during evaluation. This avoids relational complexity and supports fast, scalable profile stitching and segmentation.Examples:Profile Dataset Lookup Dataset------------------ ---------------------userId: 123 tierId: goldname: Alice ---> discount: 10%tierId: gold tierLabel: Gold TieruserId: 123name: AlicetierId: golddiscount: 10%tierLabel: Gold Tier",Exams,54,No,,,,,0,0
200,Standard Namespaces,"Correct standard namespaces for browsing profiles in AEP include:GAID (Google Advertising ID)PhoneTNTID (Adobe Target ID)Declared ID is a common namespace, but it’s not directly browsable in the profile UI. It's typically used for identity stitching via ingestion, not for direct lookups.Similarly, Address isn’t a namespace at all — it’s a profile attribute.When using the Profile Viewer in AEP, only specific standard namespaces are enabled for profile lookup, and these vary slightly based on license and setup. The key is: browseable ≠ all available.Each identity in AEP must be associated with a namespace to participate in profile stitching, segment qualification, or personalisation. Adobe provides both standard namespaces (like Email, GAID, ECID, TNTID) and allows for the creation of custom namespaces (like CRM ID, Declared ID, Loyalty ID).Namespaces power the Identity Graph by letting AEP know which identities belong to the same person. For example, if a profile has both ECID: abc123 and Email: jsmith@example.com, the namespace tells AEP these are different types of IDs — and can be stitched together if linked by data ingestion.","AEP, Exams","52, 54",No,,,,,0,0
199,Segment Evaluation Timing,"When a segment is created for streaming or edge evaluation in Adobe Experience Platform, qualifying profiles will not be added instantly. Adobe guarantees inclusion within the next 24 hours.Streaming and edge segments are designed for near real-time responsiveness, but not all profiles qualify the moment the segment is saved. This is because profiles are evaluated as new data flows into the system, and Adobe allows time for processing across regions and services.As a best practice, segment-driven activations or journeys should be designed with this latency in mind. Avoid triggering downstream actions under the assumption that all eligible profiles will be present immediately after segment creation.If it is new, it takes time to sort itself out.",AEP,52,No,,,,,0,0
198,Konductor,"Konductor is Adobe’s internal name for the orchestration engine that powers the Unified Edge. It handles requests coming from Web SDK (Alloy.js) and coordinates services such as identity resolution, consent enforcement, decisioning, and data collection. Konductor runs on Adobe’s global edge network infrastructure and is responsible for returning unified responses with minimal latency. Although not exposed as a product, the term appears in API endpoints, logs, and technical documentation.Think of it as the brain guiding the infrastructure.","AEP, [New Term Dropzone]","52, 53",No,,,,,0,0
